"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"49","Boletim - HOSPITAL RESTINGA E EXTREMO SUL

Ocupação dos leitos UTI (Privado e SUS): 55.0%
Ocupação dos leitos UTI S… https://t.co/9JWpYbKw6S",FALSE,0,NA,2020-10-07 20:16:23,TRUE,NA,"1313936230032175104",NA,"<a href=""https://robocovid.app"" rel=""nofollow"">Robôs do Covid - POA</a>","CovidemPOA",0,FALSE,FALSE,NA,NA
"50","RT @erikakokay: URGENTE

Ministro da Saúde de Bolsonaro acaba de assumir que ""não sabia nem o que era o SUS"" antes da pandemia. A gente sab…",FALSE,0,NA,2020-10-07 20:16:21,FALSE,NA,"1313936221291372549",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marcelomotoki",126,TRUE,FALSE,NA,NA
"51","RT @GuilhermeBoulos: “Eu não sabia nem o que era o SUS."" Essa frase foi dita HOJE pelo atual Ministro da Saúde do governo Bolsonaro, no mei…",FALSE,0,NA,2020-10-07 20:16:20,FALSE,NA,"1313936217168400386",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","msffeliz",1815,TRUE,FALSE,NA,NA
"52","RT @MarceloFreixo: O ministro da Saúde disse que ""nem sabia nem o que era o SUS"". Em plena pandemia que já matou quase 150 mil brasileiros,…",FALSE,0,NA,2020-10-07 20:16:19,FALSE,NA,"1313936214358138890",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MortiferaSP",153,TRUE,FALSE,NA,NA
"53","RT @reportersalles: Só quem já precisou de atendimento no SUS sabe o desastre que é a saúde pública no Brasil. Alguns hospitais parecem aço…",FALSE,0,NA,2020-10-07 20:16:15,FALSE,NA,"1313936193827024904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JBOlive31644311",198,TRUE,FALSE,NA,NA
"54","RT @VittorGuidoni: se defende o sus = namora comigo",FALSE,0,NA,2020-10-07 20:16:13,FALSE,NA,"1313936188038942721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ccscil",2373,TRUE,FALSE,NA,NA
"55","RT @VittorGuidoni: se defende o sus = namora comigo",FALSE,0,NA,2020-10-07 20:16:12,FALSE,NA,"1313936183160967168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","asklenaa",2373,TRUE,FALSE,NA,NA
"56","RT @HaddadDebochado: “Eu não sabia nem o que era o SUS” - Eduardo Pazuello, Ministro da SAÚDE. https://t.co/20EUqvuGHF",FALSE,0,NA,2020-10-07 20:16:12,FALSE,NA,"1313936181659402241",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","boanoitekaren",5,TRUE,FALSE,NA,NA
"57","RT @VittorGuidoni: se defende o sus = namora comigo",FALSE,0,NA,2020-10-07 20:16:11,FALSE,NA,"1313936178677194753",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","salgadinholu",2373,TRUE,FALSE,NA,NA
"58","@STARRYGOWON amg eu vou ser o vitinho do sus <U+0001F62D><U+0001F62D>",FALSE,0,"STARRYGOWON",2020-10-07 20:16:10,FALSE,"1313935314688372737","1313936173597949952","1157508992530288640","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","loonafavs",0,FALSE,FALSE,NA,NA
"59","RT @nostrendsbrasil: Ministro da Saúde - “Eu não sabia nem o que era o SUS”, afirma Ministro da Saúde ,Eduardo Pazuello. https://t.co/0cJXH…",FALSE,0,NA,2020-10-07 20:16:07,FALSE,NA,"1313936161929334787",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fernand89345204",2,TRUE,FALSE,NA,NA
"60","RT @MarceloFreixo: O ministro da Saúde disse que ""nem sabia nem o que era o SUS"". Em plena pandemia que já matou quase 150 mil brasileiros,…",FALSE,0,NA,2020-10-07 20:16:06,FALSE,NA,"1313936159467282434",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alan_Cristhian",153,TRUE,FALSE,NA,NA
"61","RT @HaddadDebochado: “Eu não sabia nem o que era o SUS” - Eduardo Pazuello, Ministro da SAÚDE. https://t.co/20EUqvuGHF",FALSE,0,NA,2020-10-07 20:16:06,FALSE,NA,"1313936159135989770",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VictorG83295861",5,TRUE,FALSE,NA,NA
"62","RT @GuilhermeBoulos: “Eu não sabia nem o que era o SUS."" Essa frase foi dita HOJE pelo atual Ministro da Saúde do governo Bolsonaro, no mei…",FALSE,0,NA,2020-10-07 20:16:05,FALSE,NA,"1313936154912346117",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alemaidel",1815,TRUE,FALSE,NA,NA
"63","RT @Ivanovi99156186: Tweet de Ivan novitch (@Ivanovi99156186) Ivan novitch (@Ivanovi99156186) tweetou: Fala pra ele a verdade, fala do aper…",FALSE,0,NA,2020-10-07 20:16:03,FALSE,NA,"1313936146062245889",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ivanovi99156186",1,TRUE,FALSE,NA,NA
